time,total_active_kw,total_daily_pv_kwh,total_daily_kwh,mean_inner_temp,status_ok
2025-01-02 06:00:00,0.0,0.0,0.0,6.0,0
2025-01-02 06:15:00,0.0,0.0,0.0,6.055555555555555,0
2025-01-02 06:30:00,0.0,0.0,0.0,6.081944444444444,0
2025-01-02 06:45:00,0.0,0.0,0.0,6.093055555555555,0
2025-01-02 07:00:00,0.0,0.0,0.0,6.080555555555556,0
2025-01-02 07:15:00,0.0,0.0,0.0,5.200343642611684,0
2025-01-02 07:30:00,0.0,0.0,0.0,5.6969072164948455,0
2025-01-02 07:45:00,0.0,0.0,0.47,6.3,0
2025-01-02 08:00:00,0.0,0.0,21.880000000000003,7.743986254295533,0
2025-01-02 08:15:00,365.195,0.0,80.69999999999999,9.068041237113402,1
2025-01-02 08:30:00,815.1580000000001,0.0,219.07999999999998,10.350171821305842,1
2025-01-02 08:45:00,732.94,0.0,406.65,11.67766323024055,1
2025-01-02 09:00:00,1075.725,0.0,618.49,12.987628865979381,1
2025-01-02 09:15:00,1345.529,0.0,951.34,14.369072164948452,1
2025-01-02 09:30:00,1632.334,0.0,1272.38,15.554295532646048,1
2025-01-02 09:45:00,1402.9,0.0,1662.76,16.656357388316152,1
2025-01-02 10:00:00,1683.1979999999999,0.0,2067.2,17.706872852233676,1
2025-01-02 10:15:00,2235.271,0.0,2557.0599999999995,18.762886597938145,1
2025-01-02 10:30:00,2292.941,0.0,3076.6900000000005,19.771134020618554,1
2025-01-02 10:45:00,2074.5460000000003,0.0,3606.01,20.718900343642613,1
2025-01-02 11:00:00,2266.714,0.0,4162.03,21.603780068728522,1
2025-01-02 11:15:00,2454.2290000000003,0.0,4723.49,22.308247422680413,1
2025-01-02 11:30:00,3054.328,0.0,5439.78,23.128767123287673,1
2025-01-02 11:45:00,3244.035,0.0,6234.46,24.082534246575342,1
2025-01-02 12:00:00,3800.3940000000002,0.0,7143.06,25.07191780821918,1
2025-01-02 12:15:00,3777.538,0.0,8071.210000000001,25.95205479452055,1
2025-01-02 12:30:00,3889.05,0.0,8995.71,26.64554794520548,1
2025-01-02 12:45:00,3360.035,0.0,9894.18,27.162328767123288,1
2025-01-02 13:00:00,3487.759,0.0,10752.52,27.524315068493152,1
2025-01-02 13:15:00,3379.631,0.0,11644.87,27.81404109589041,1
2025-01-02 13:30:00,4447.798000000001,0.0,12808.61,28.04417808219178,1
2025-01-02 13:45:00,5942.588,0.0,14191.53,28.673630136986304,1
2025-01-02 14:00:00,5568.173999999999,0.0,15649.34,29.451712328767123,1
2025-01-02 14:15:00,6079.249,0.0,17046.700000000004,30.205479452054796,1
2025-01-02 14:30:00,4937.401,0.0,18294.770000000004,30.51027397260274,1
2025-01-02 14:45:00,4929.256,0.0,19580.16,30.858904109589037,1
2025-01-02 15:00:00,4446.17,0.0,20753.11,30.999657534246573,1
2025-01-02 15:15:00,3844.933,0.0,21744.29,30.93972602739726,1
2025-01-02 15:30:00,3292.991,0.0,22639.22,30.764041095890413,1
2025-01-02 15:45:00,2760.969,0.0,23395.65,30.392123287671232,1
2025-01-02 16:00:00,2211.58,0.0,24018.809999999998,29.7736301369863,1
2025-01-02 16:15:00,1712.6819999999998,0.0,24508.449999999997,29.04486301369863,1
2025-01-02 16:30:00,1237.8300000000002,0.0,24875.35,28.178424657534247,1
2025-01-02 16:45:00,847.302,0.0,25134.3,27.24280821917808,1
2025-01-02 17:00:00,509.53,0.0,25303.18,26.24417808219178,1
2025-01-02 17:15:00,225.406,0.0,25393.43,25.218835616438355,1
2025-01-02 17:30:00,0.0,0.0,25424.710000000003,24.17294520547945,0
2025-01-02 17:45:00,0.0,0.0,25428.019999999997,22.635616438356166,0
2025-01-02 18:00:00,0.0,0.0,25428.059999999998,17.78321917808219,0
2025-01-02 18:15:00,0.0,0.0,14512.87,15.453846153846154,0
2025-01-02 18:30:00,0.0,0.0,4363.279999999999,19.612328767123287,0
2025-01-02 18:45:00,0.0,0.0,4296.119999999999,18.498611111111114,0
2025-01-02 19:00:00,0.0,0.0,4374.759999999999,17.128767123287673,0
2025-01-02 19:15:00,0.0,0.0,4374.759999999999,15.963013698630137,0
2025-01-02 19:30:00,0.0,0.0,4374.759999999999,14.935616438356163,0
2025-01-02 19:45:00,0.0,0.0,4374.759999999999,14.026027397260274,0
2025-01-02 20:00:00,0.0,0.0,4374.759999999999,13.158904109589042,0
2025-01-02 20:15:00,0.0,0.0,4374.759999999999,12.306849315068494,0
2025-01-02 20:30:00,0.0,0.0,4331.83,11.42876712328767,0
2025-01-02 20:45:00,0.0,0.0,4410.47,10.68108108108108,0
2025-01-02 21:00:00,0.0,0.0,4410.47,9.986486486486486,0
2025-01-02 21:15:00,0.0,0.0,4331.83,9.373972602739725,0
2025-01-02 21:30:00,0.0,0.0,4374.759999999999,8.90958904109589,0
2025-01-02 21:45:00,0.0,0.0,4331.83,8.33013698630137,0
2025-01-02 22:00:00,0.0,0.0,4410.47,7.922972972972972,0
2025-01-02 22:15:00,0.0,0.0,4410.47,7.441891891891893,0
2025-01-02 22:30:00,0.0,0.0,4331.83,7.093150684931506,0
2025-01-02 22:45:00,0.0,0.0,4410.47,6.768918918918919,0
2025-01-02 23:00:00,0.0,0.0,4374.759999999999,6.583561643835616,0
2025-01-02 23:15:00,0.0,0.0,4331.83,6.242465753424657,0
2025-01-02 23:30:00,0.0,0.0,4410.47,5.9972972972972975,0
2025-01-02 23:45:00,0.0,0.0,3603.06,5.053030303030303,0
2025-01-03 00:00:00,0.0,0.0,0.0,4.952307692307692,0
2025-01-03 00:15:00,0.0,0.0,0.0,4.6878787878787875,0
2025-01-03 00:30:00,0.0,0.0,0.0,5.26986301369863,0
2025-01-03 00:45:00,0.0,0.0,0.0,5.098630136986301,0
2025-01-03 01:00:00,0.0,0.0,0.0,4.9520547945205475,0
2025-01-03 01:15:00,0.0,0.0,0.0,4.793150684931507,0
2025-01-03 01:30:00,0.0,0.0,0.0,4.64931506849315,0
2025-01-03 01:45:00,0.0,0.0,0.0,4.50958904109589,0
2025-01-03 02:00:00,0.0,0.0,0.0,4.368493150684931,0
2025-01-03 02:15:00,0.0,0.0,0.0,4.2534246575342465,0
2025-01-03 02:30:00,0.0,0.0,0.0,4.146575342465753,0
2025-01-03 02:45:00,0.0,0.0,0.0,4.002739726027397,0
2025-01-03 03:00:00,0.0,0.0,0.0,3.8849315068493153,0
2025-01-03 03:15:00,0.0,0.0,0.0,3.772602739726027,0
2025-01-03 03:30:00,0.0,0.0,0.0,3.668493150684932,0
2025-01-03 03:45:00,0.0,0.0,0.0,3.5821917808219177,0
2025-01-03 04:00:00,0.0,0.0,0.0,3.5123287671232872,0
2025-01-03 04:15:00,0.0,0.0,0.0,3.4397260273972603,0
2025-01-03 04:30:00,0.0,0.0,0.0,3.3739726027397263,0
2025-01-03 04:45:00,0.0,0.0,0.0,3.2904109589041095,0
2025-01-03 05:00:00,0.0,0.0,0.0,3.195890410958904,0
2025-01-03 05:15:00,0.0,0.0,0.0,3.1095890410958904,0
2025-01-03 05:30:00,0.0,0.0,0.0,3.0541666666666667,0
2025-01-03 05:45:00,0.0,0.0,0.0,2.977777777777778,0
2025-01-03 06:00:00,0.0,0.0,0.0,2.9055555555555554,0
2025-01-03 06:15:00,0.0,0.0,0.0,2.8430555555555554,0
2025-01-03 06:30:00,0.0,0.0,0.0,2.7750000000000004,0
2025-01-03 06:45:00,0.0,0.0,0.0,2.723611111111111,0
2025-01-03 07:00:00,0.0,0.0,0.0,2.817808219178082,0
2025-01-03 07:15:00,0.0,0.0,0.0,2.6365248226950353,0
2025-01-03 07:30:00,0.0,0.0,0.02,2.3608247422680413,0
2025-01-03 07:45:00,0.0,0.0,9.17,3.2633561643835614,0
2025-01-03 08:00:00,0.0,0.0,61.480000000000004,4.586986301369864,0
2025-01-03 08:15:00,0.0,0.0,183.68,5.983219178082192,0
2025-01-03 08:30:00,0.0,0.0,398.03000000000003,7.490068493150685,0
2025-01-03 08:45:00,1546.959,0.0,725.91,9.192808219178083,1
2025-01-03 09:00:00,2048.2219999999998,0.0,1172.54,11.038013698630136,1
2025-01-03 09:15:00,2672.5069999999996,0.0,1762.2899999999997,13.010616438356164,1
2025-01-03 09:30:00,3379.968,0.0,2517.12,15.071575342465753,1
2025-01-03 09:45:00,3990.3999999999996,0.0,3438.0600000000004,17.303424657534247,1
2025-01-03 10:00:00,0.0,0.0,4445.84,19.057731958762886,0
2025-01-03 10:15:00,0.0,0.0,5573.91,20.630479452054796,0
2025-01-03 10:30:00,0.0,0.0,6827.82,22.347945205479455,0
2025-01-03 10:45:00,0.0,0.0,8207.039999999999,23.774315068493152,0
2025-01-03 11:00:00,0.0,0.0,9710.64,25.279452054794522,0
2025-01-03 11:15:00,0.0,0.0,11292.76,26.610616438356164,0
2025-01-03 11:30:00,0.0,0.0,12940.1,27.75958904109589,0
2025-01-03 11:45:00,0.0,0.0,14655.75,28.55445205479452,0
2025-01-03 12:00:00,7397.597,0.0,16471.71,29.230821917808218,1
2025-01-03 12:15:00,7382.744000000001,0.0,18320.43,29.74041095890411,1
2025-01-03 12:30:00,7348.856,0.0,20169.55,30.07260273972603,1
2025-01-03 12:45:00,7304.049999999999,0.0,22010.41,30.59452054794521,1
2025-01-03 13:00:00,7368.860000000001,0.0,23842.42,31.021917808219175,1
2025-01-03 13:15:00,7055.513000000001,0.0,25660.11,31.31746575342466,1
2025-01-03 13:30:00,6095.727,0.0,27344.770000000004,31.50821917808219,1
2025-01-03 13:45:00,6436.504,0.0,28733.92,31.168150684931508,1
2025-01-03 14:00:00,5966.236999999999,0.0,30193.32,31.1722602739726,1
2025-01-03 14:15:00,5095.235000000001,0.0,31631.790000000005,31.386643835616436,1
2025-01-03 14:30:00,3833.3990000000003,0.0,32627.64,31.083904109589042,1
2025-01-03 14:45:00,2625.41,0.0,33301.42,30.264041095890413,1
2025-01-03 15:00:00,0.0,0.0,34031.35,29.829109589041096,0
2025-01-03 15:15:00,0.0,0.0,34566.11,29.16917808219178,0
2025-01-03 15:30:00,0.0,0.0,34945.58,28.369178082191777,0
2025-01-03 15:45:00,0.0,0.0,35256.09,27.477054794520548,0
2025-01-03 16:00:00,0.0,0.0,35572.759999999995,26.7263698630137,0
2025-01-03 16:15:00,0.0,0.0,35830.770000000004,25.90821917808219,0
2025-01-03 16:30:00,0.0,0.0,36009.42,25.150342465753422,0
2025-01-03 16:45:00,616.992,0.0,36152.57000000001,24.634931506849313,1
2025-01-03 17:00:00,405.68399999999997,0.0,36283.56,24.097602739726028,1
2025-01-03 17:15:00,197.563,0.0,36359.41,23.436986301369863,1
2025-01-03 17:30:00,0.0,0.0,36391.04,22.66472602739726,0
2025-01-03 17:45:00,0.0,0.0,36232.869999999995,21.063917525773196,0
2025-01-03 18:00:00,0.0,0.0,36394.39,17.90547945205479,0
2025-01-03 18:15:00,0.0,0.0,17009.559999999998,16.743333333333332,0
2025-01-03 18:30:00,0.0,0.0,6114.21,19.654054054054054,0
2025-01-03 18:45:00,0.0,0.0,5976.18,18.827777777777776,0
2025-01-03 19:00:00,0.0,0.0,6060.26,17.647945205479452,0
2025-01-03 19:15:00,0.0,0.0,6060.26,16.554794520547944,0
2025-01-03 19:30:00,0.0,0.0,6060.26,15.517808219178082,0
2025-01-03 19:45:00,0.0,0.0,5938.379999999999,14.594444444444443,0
2025-01-03 20:00:00,0.0,0.0,6060.26,13.684931506849315,0
2025-01-03 20:15:00,0.0,0.0,6060.26,12.884931506849316,0
2025-01-03 20:30:00,0.0,0.0,6111.61,12.017567567567568,0
2025-01-03 20:45:00,0.0,0.0,6111.61,11.39054054054054,0
2025-01-03 21:00:00,0.0,0.0,5989.73,10.86986301369863,0
2025-01-03 21:15:00,0.0,0.0,6111.61,10.32162162162162,0
2025-01-03 21:30:00,0.0,0.0,6111.61,9.858108108108109,0
2025-01-03 21:45:00,0.0,0.0,5989.73,9.454794520547946,0
2025-01-03 22:00:00,0.0,0.0,6060.26,9.228767123287671,0
2025-01-03 22:15:00,0.0,0.0,6111.61,8.743243243243244,0
2025-01-03 22:30:00,0.0,0.0,5989.73,8.40958904109589,0
2025-01-03 22:45:00,0.0,0.0,6060.26,8.176712328767122,0
2025-01-03 23:00:00,0.0,0.0,6111.61,7.8108108108108105,0
2025-01-03 23:15:00,0.0,0.0,5989.73,7.595890410958904,0
2025-01-03 23:30:00,0.0,0.0,5938.379999999999,7.487500000000001,0
2025-01-03 23:45:00,0.0,0.0,4932.669999999999,6.512121212121213,0
2025-01-04 00:00:00,0.0,0.0,0.0,6.175757575757576,0
2025-01-04 00:15:00,0.0,0.0,0.0,5.942424242424242,0
2025-01-04 00:30:00,0.0,0.0,0.0,6.457534246575342,0
2025-01-04 00:45:00,0.0,0.0,0.0,6.254794520547946,0
2025-01-04 01:00:00,0.0,0.0,0.0,6.036986301369863,0
2025-01-04 01:15:00,0.0,0.0,0.0,5.944444444444445,0
2025-01-04 01:30:00,0.0,0.0,0.0,5.6726027397260275,0
2025-01-04 01:45:00,0.0,0.0,0.0,5.480821917808219,0
2025-01-04 02:00:00,0.0,0.0,0.0,5.276712328767123,0
2025-01-04 02:15:00,0.0,0.0,0.0,5.108219178082192,0
2025-01-04 02:30:00,0.0,0.0,0.0,4.963013698630137,0
2025-01-04 02:45:00,0.0,0.0,0.0,4.86027397260274,0
2025-01-04 03:00:00,0.0,0.0,0.0,4.7095890410958905,0
2025-01-04 03:15:00,0.0,0.0,0.0,4.598630136986301,0
2025-01-04 03:30:00,0.0,0.0,0.0,4.497260273972603,0
2025-01-04 03:45:00,0.0,0.0,0.0,4.390410958904109,0
2025-01-04 04:00:00,0.0,0.0,0.0,4.32054794520548,0
2025-01-04 04:15:00,0.0,0.0,0.0,4.2465753424657535,0
2025-01-04 04:30:00,0.0,0.0,0.0,4.171232876712328,0
2025-01-04 04:45:00,0.0,0.0,0.0,4.124657534246576,0
2025-01-04 05:00:00,0.0,0.0,0.0,4.0698630136986305,0
2025-01-04 05:15:00,0.0,0.0,0.0,4.001369863013699,0
2025-01-04 05:30:00,0.0,0.0,0.0,4.030555555555555,0
2025-01-04 05:45:00,0.0,0.0,0.0,4.036111111111111,0
2025-01-04 06:00:00,0.0,0.0,0.0,4.059722222222223,0
2025-01-04 06:15:00,0.0,0.0,0.0,4.081944444444444,0
2025-01-04 06:30:00,0.0,0.0,0.0,4.131944444444445,0
2025-01-04 06:45:00,0.0,0.0,0.0,4.179166666666666,0
2025-01-04 07:00:00,0.0,0.0,0.0,4.195833333333334,0
2025-01-04 07:15:00,0.0,0.0,0.0,3.787328767123288,0
2025-01-04 07:30:00,0.0,0.0,0.12000000000000001,3.8116438356164384,0
2025-01-04 07:45:00,0.0,0.0,4.75,5.134246575342466,0
2025-01-04 08:00:00,0.0,0.0,39.58,6.421917808219178,0
2025-01-04 08:15:00,538.1899999999999,0.0,136.11,7.907534246575342,1
2025-01-04 08:30:00,791.6540000000001,0.0,314.27,9.293493150684931,1
2025-01-04 08:45:00,1157.998,0.0,572.0600000000001,10.655821917808218,1
2025-01-04 09:00:00,1462.556,0.0,896.3199999999999,12.109246575342466,1
2025-01-04 09:15:00,1530.504,0.0,1252.2,13.602739726027398,1
2025-01-04 09:30:00,2766.7940000000003,0.0,1810.68,15.279109589041095,1
2025-01-04 09:45:00,2512.749,0.0,2501.11,17.08595890410959,1
2025-01-04 10:00:00,2507.4480000000003,0.0,3110.6,18.409246575342465,1
2025-01-04 10:15:00,2125.0750000000003,0.0,3689.37,19.537328767123288,1
2025-01-04 10:30:00,3051.909,0.0,4275.18,20.483219178082194,1
2025-01-04 10:45:00,2553.8999999999996,0.0,5067.85,21.629794520547943,1
2025-01-04 11:00:00,3065.694,0.0,5802.550000000001,22.442808219178083,1
2025-01-04 11:15:00,4169.93,0.0,6615.88,23.26815068493151,1
2025-01-04 11:30:00,4803.177,0.0,7732.43,24.600684931506848,1
2025-01-04 11:45:00,5343.157999999999,0.0,9193.949999999999,26.161301369863015,1
2025-01-04 12:00:00,4524.144,0.0,10421.509999999998,27.681506849315067,1
2025-01-04 12:15:00,3205.451,0.0,11395.35,28.441438356164383,1
2025-01-04 12:30:00,2827.835,0.0,12080.689999999999,28.448630136986303,1
2025-01-04 12:45:00,5104.115,0.0,13171.43,29.177739726027397,1
2025-01-04 13:00:00,3645.6809999999996,0.0,14274.300000000001,29.808561643835617,1
2025-01-04 13:15:00,3161.674,0.0,15127.580000000002,29.595547945205478,1
2025-01-04 13:30:00,3509.577,0.0,15992.830000000002,29.295205479452058,1
2025-01-04 13:45:00,2388.583,0.0,16749.55,28.746232876712327,1
2025-01-04 14:00:00,2611.596,0.0,17399.12,28.13013698630137,1
2025-01-04 14:15:00,2456.581,0.0,18042.989999999998,27.71678082191781,1
2025-01-04 14:30:00,2298.677,0.0,18648.489999999998,27.277397260273972,1
2025-01-04 14:45:00,2454.898,0.0,19220.61,26.93013698630137,1
2025-01-04 15:00:00,1802.613,0.0,19755.83,26.56609589041096,1
2025-01-04 15:15:00,1593.029,0.0,20176.47,26.14315068493151,1
2025-01-04 15:30:00,1268.287,0.0,20525.45,25.671917808219177,1
2025-01-04 15:45:00,1144.789,0.0,20824.38,25.256849315068493,1
2025-01-04 16:00:00,792.2,0.0,21067.66,24.851027397260275,1
